additionalRequirments,benefits,company,education,experience,jobContext,jobResposiblities,jobType,joblocation,salary,source,title,vacancies,workplace
,,Universal Group,At least 3 year(s)|The applicants should have experience in the following area(s):|Accounting and Finance|The applicants should have experience in the following business area(s):|LPG Gas/Cylinder Gas,Age 25 to 35 years |Only males are allowed to apply|Sound knowledge on MS Excel.|Typing skill both Bengali and English. ,"Cash book and ledger book posting manually |Prepare cash/Bank/Debit/Credit and other vouchers.  |Check all types of bills. |Maintain register book. |Assist to preparer accounts, cash and bank transaction, receipt and payment statement, cash and fund flow statement, sales records. |Verify, allocate, post, and reconcile accounts payable and receivables. |Assist to resolve accounting discrepancies. |Reconciliation of banks and other related control accounts. |Record keeping and time to time reporting to management. |Any other task assigned by Management.",,None,,Mobile bill,,Officer (Accounts),Not specific,"Master of Commerce (MCom) in Accounting|MBA in Accounting is preferable.|Skills Required: Computer skill, English proficiency"
,,,,,,Age 22 to 30 years ,Chattogram,,None,,Bangla Job,01,
,,World Vision Bangladesh Rohingya Crisis Response (WV BRCR),At least 3 year(s),"Understand development issues |Training and Facilitation skills|Basic knowledge and skills in accounting|Good time management and organizational skills|Basic knowledge and skills on research methodology/statistics|Ability to speak and write reports in English|Competent in the use of computer|Basic knowledge and skills in accounting|Minimum 2 years' experience in finance and administration|Should work Upazila level and 25% field visit is expected. |This role will work directly with Project manager and Partner staff|World Vision is committed to first do no harm to children or adult beneficiaries, to respect the rights of all beneficiaries, and to uphold the best interests of children as a primary consideration in all actions and decisions; accordingly all the recruits will go through specific checks and compliance procedures in accordance to its Child and Adult Safeguarding Policy.|World Vision Bangladesh has zero tolerance towards incidents of violence or abuse against children or adults, including sexual exploitation or abuse, committed either by employees or others affiliated with our work. World Vision Bangladesh as Child Safe Organization discourages anyone to apply with prior record of conviction related with child neglect, abuse and exploitation.",,"Ensure compliances with WV finance and administrative policies, SCM, standards, procedures and government VAT & Tax requirements.|Establish effective internal control in the financial management.|Facilitate KOICA CSO Partnership Maheshkhali Digital Island project team in integrated financial planning, budgeting and monitoring in accordance with WVK guideline.|Ensure standard record keeping and prepare & submit reports to stakeholders on time.|Maintain high confidentiality of documents and information and take adequate measures for safety and security of documents, information and other resources.|Facilitate administrative functions and provide necessary support for smooth operation.|Administration management: oversee general Office administration, Office Management, Fleet Management & Security Management (facility) & Asset Management.|Ensure administrative policies and procedures are properly implemented.|Facilitate financial sessions both for the finance and non-finance staff for their understanding|Ensure full implementation of agreed upon integrated internal and External audit recommendations.|Strive for innovation and smart work that can maximize the use of ICT|Ensure an integrated financial planning, budgeting and monitoring in accordance with budget guidelines|Preparation and dissemination of monthly management and budget performance reports to various stakeholders.|Cash flow management and coordination to ensure timely disbursements to both internal and external customers.|Ensure adequate Control of budget, cash flow and funding, by providing timely and relevant information in collaboration with implementing partner.|Collect financial forecast from and transfer fund to partner in timely manner.|Area/Urban program budget are aligned with my PBAS.|Effective tools of monitoring the budget are in place|Monitoring of budget and actual expenses against FD-6 budget line item(s) and keep the variance to single digit level.|Ensure proper Financial Management Systems are in place at the Area/Urban Program Level|Minimize financial risk exposure by ensuring that appropriate financial systems and internal controls are in place to avoid significant audit risk.|Ensure that there is a proper monitoring system of Invoice sending to SS & transfer payment through S2B.|Ensure 100% compliance of VAT and Tax regulation and deduction at source|Review the ageing analysis on a regular basis and take appropriate action for long outstanding items (if any).|Ensure periodically financial spot check for improving financial management.|Record keeping and reporting to stakeholders. |Ensure timely complete and accurate submission of financial reports including programs closure reports as per WVI and WVB guidelines.|100% of vouchers are maintained according to the policy and procedure.|Prepare all SCM related business processes.|Assist team with making sure that procurement is done on time and all the required financial requirements.|Ensure compliance of all WV polices at the all level.|Ensure there is proper monitoring of petty cash in the project including implementing partner and internal controls are in place as effectiveness is ensured. |Review all payment requisitions and vouchers for correct coding and charging of cost, proper authorization and supporting documents in line with WVB finance policy to ensure completeness and accuracy.",Contractual,,"Mobile bill, Medical allowance, Weekly 2 holidays",,Finance & Admin Officer,1,"Bachelor degree in Commerce, Finance, Accounting or Management or relevant subjects is essential|Masters degree will be preferable"
,,Manufacturing Industry ,At least 2 year(s)|Freshers are also encouraged to apply.,,Check and verify through visiting markets frequently on the price quotations collected by procurement team.|Submit report on the findings of Market visits regarding different prices and items to Departmental Head.|Check and verify the proper usages of different items by different users.|Any other job as and when assigned by Department Head.,,None,,None,,Asst. Officer / Officer (Audit),Not specific,Master of Commerce (MCom)|CA CC is also preferred. 
,,Udvash-Unmesh-Uttoron Education Family,Age 23 to 35 years |Only males are allowed to apply|Must be proficient with Microsoft excel.|Willingness to work long hours even in any national & religious holiday.,,"Cash Management|Voucher Checking|Make sure Authenticity of all kinds payment|Counseling for Admission|Online Admission|Store and preserve all the valuable and necessary documents and records for future reference|Perform any other activities as and when required by the management|Prepare Mushak-9.1, Mushak-6.1, Mushak-6.2, Mushak-6.3",,None,,None,,Junior Executive (Cash & Billing),20,"Master of Commerce (MCom), Master of Business Administration (MBA)"
,,Trade Bangla,2 to 5 year(s)|The applicants should have experience in the following area(s):|Finance/ Accounts,Age 25 to 35 years |Both males and females are allowed to apply,"Performing basic office tasks, such as filing, data entry, answering phones call, processing the mail, etc.|Prepares all sales-related documents like Sales Invoice, Delivery Invoice etc.|Handling communications with clients and vendors via phone, email, and in-person.|Processing transactions, issuing checks, and updating ledgers, budgets, etc|Should have competency on computer based accounting system 'Billing Master' & basic knowledge in MS Excel|Managing cash and bank transactions|Ensure timely and accurate preparation of financial information|Multi-tasking ability and strong presentation skills|Perform any other related jobs assigned by the management as and when required.",,None,,As per company policy.,,Accounts Officer,01,Graduate / Post Graduate in Accounting.
,,A Reputed Group of Companies,3 to 5 year(s)|The applicants should have experience in the following area(s):|Finance,Age 28 to 32 years |Both males and females are allowed to apply,"Advise on how to meet targets and create investment capital.|Advise on investment activities and provide strategies that the company should take|Deliver accurate financial report and explain financial information to management while recommending further course of action|Use financial modelling to predict outcomes.|Negotiate and structure financial details.|Liaise with accountants, lawyers, financial experts and regulatory bodies|Liaise with bank and all parties involved in transactions and assist with negotiations.|Conduct reviews and evaluations for cost reduction opportunities|Assess and predict financial risks and returns|Prepare legal documents and prospectuses.|Prepare projected FS and analyze project by using NPV, IRR, PBP, BEP, sensitivity analysis, simulation analysis and financial ratios|Supervision and monitor subordinate for smooth productive Financial Operation",,None,,"Performance bonus, Provident fund, Insurance, Gratuity",,Senior Executive - Finance,Not specific,"Bachelor of Business Administration (BBA) in Finance, Master of Business Administration (MBA) in Finance|Skills Required: Financial Analysis, Financial Planning"
,,,Age 18 to 45 years |Only females are allowed to apply,,,Work at office,None,,None,,Bangla Job,Not specific,At most 2 year(s)|Freshers are also encouraged to apply.
,,Liz Fashion Industry Ltd.,At least 5 year(s)|The applicants should have experience in the following area(s):|Finance/ Accounts|The applicants should have experience in the following business area(s):|Garments,"Age 30 to 40 years |Both males and females are allowed to apply|Proven working experience as Sr. Executive/Asst. Manager - finance and accounting department|Must be experienced in Accounting software like SAP, Tally, ERP etc.|Advanced computer skills on MS Office, accounting software and databases|Ability to manipulate large amounts of data.|Proven knowledge of bookkeeping and accounting principles, practices, standards, laws and regulations.|High attention to detail and accuracy.|Good Communication skills in both English & Bengali.","Manage & oversee the daily operations of Accounts & Finance Department including: accounts payable & receivable, cash receipts, general ledger, treasury & budgeting, cash forecast, revenue & expenditure variance analysis, financial data reconciliation & debt activity. |Monitor and analyze accounting data and prepare financial reports or statement.|Establish and enforce proper accounting methods, polices & principles|Meet financial accounting objective. |Ensure credibility of Finance department by providing timely and accurate analysis of budgets, financial trends and forecast.|Must be experienced handling all banks correspondence, liaison and coordination with them.|Review the cash flow requirement to ensure smooth operation.|Preparing Monthly Budget, Cash flow statement and projection.|Ensure smooth cash disbursement/Prepare payments by verifying documentation.|Preparing all the vouchers (Debit, Credit, Journal, sales, Purchase etc.)|Ensuring Proper Accounting Record in Accounting Software System.|Ledger reconciliations and report time to time to Management.",,None,,"Mobile bill, Medical allowance, Provident fund, Over time allowance",,Sr. Executive/ Asst. Manager - Finance and Accounting,Not specific,"Bachelor degree in any discipline|MBA/M.com/BBA/B.com in Accounting or Finance from any Reputed Public or Private University with ACCA, CA, CC, CMA Partly Qualified"
,,Ahsan Group,"Age 28 to 35 years |Only males are allowed to apply|2 to 3 year(s) must|The applicants should have experience in the following area(s): Internal Audit , Tax & VAT, Accounts.|The applicants should have experience in the following Business(s): Group of Company|Experience in Internal Audit , Tax & VAT, Accounts..|Friendly Interpersonal skills to represent or lead in any domestic/ international business fair/ expo/ exhibition.|Knowledge of CA(CC) &  ERP Talley will get preference.|Pleasant personality and excellent communication in English and Bengali.",,"To checks bills and vouchers of various sister concern of the Group.|To recommend sound policy for establishing ideal system .|Conducting internal audits, process reviews into operational ,financial and compliance areas .|Coordinating and reviewing work of outsourced audit partners.|Tracking of open audit issues and follow up for closure of action points,including helping the business to close the issues.|Conducting special audits/investigations /projects relating to controls as required from time to time.|Identify areas of cost reduction, process improvement including development of critical areas.|Partner with the business on any new initiative from internal controls point of view.|Regular use MIS relating to audit related matters.",,None,,None,,Sr. Executive /Asst. Manager - Internal Audit,04,2 to 3 year(s)
